content,title,address,roadaddress,latitude,longitude,score
관광지,무릉곶자왈,제주특별자치도 서귀포시 대정읍 무릉리 산 1,제주특별자치도 서귀포시 대정읍 무릉리 산 1,33.291157,126.26312,15276
관광지,큰사슴이오름,제주특별자치도 서귀포시 표선면 중산간동로,제주특별자치도 서귀포시 표선면 중산간동로,33.4005,126.72963,15260
관광지,생이기정,제주특별자치도 제주시 한경면 용수리 산 60,제주특별자치도 제주시 한경면 용수리 산 60,33.315594,126.16737,15234
관광지,"물메(물미, 수산봉)",제주특별자치도 제주시 애월읍 수산리 산 1-1,제주특별자치도 제주시 애월읍 수산리 산 1-1,33.4737592,126.3846826,15232
관광지,우도스쿠터여행,제주특별자치도 제주시 우도면 2395-5,제주특별자치도 제주시 우도면 2395-5,33.509293,126.94373,15183
관광지,왈종미술관,제주특별자치도 서귀포시 동홍동 281-2,제주특별자치도 서귀포시 칠십리로214번길 30,33.245224,126.5739,15153
음식점,몽키비치클럽 Monkey Beach,서귀포시 색달동 2822-2,서귀포시 중문관광로72번길 29-9,33.24968,126.41136,15148
음식점,문동일셰프녹차고을,제주특별자치도 제주시 애월읍 하귀1리 235-5,제주특별자치도 제주시 애월읍 하귀동남4길 13-1,33.4861735,126.415129,15097
음식점,제주901,제주특별자치도 제주시 노형동 288-39,제주특별자치도 제주시 1100로 2977-10,33.453057,126.4865013,15080
관광지,사계 용머리해안 (해산물),제주특별자치도 서귀포시 안덕면 사계리 118-3,제주특별자치도 서귀포시 안덕면 사계남로216번길 28,33.2336721,126.311389,15077
관광지,형제해안도로,제주특별자치도 서귀포시 대정읍 상모리 1649-1,제주특별자치도 서귀포시 대정읍 상모리 1649-1,33.20110262,126.2655368,15077
관광지,노을승마장,제주특별자치도 제주시 우도면 연평리 2358,제주특별자치도 제주시 우도면 우도해안길 406-1,33.51140616,126.9438329,15037
쇼핑,함덕민속오일시장,제주특별자치도 제주시 조천읍 함덕리 972-7,제주특별자치도 제주시 조천읍 함덕16길 15-13,33.540173,126.66804,15034
음식점,옛날옛적,제주특별자치도 서귀포시 성산읍 온평리 486-1,제주특별자치도 서귀포시 성산읍 일주동로 4660,33.414307,126.900185,15006
음식점,오는정김밥,제주특별자치도 서귀포시 서귀동 254-6,제주특별자치도 서귀포시 동문동로 2,33.249676,126.56757,14966
음식점,비포크비스트로,제주특별자치도 서귀포시 서귀동 551-1,제주특별자치도 서귀포시 태평로 417-1,33.2451005,126.5649536,14943
관광지,알프스승마장포니,제주특별자치도 서귀포시 표선면 성읍리 475,제주특별자치도 서귀포시 표선면 서성일로 73,33.4112985,126.7819256,14939
쇼핑,한마음한라봉,제주특별자치도 제주시 애월읍 애월리 1827-1,제주특별자치도 제주시 애월읍 애월해안로 32,33.451775,126.308685,14901
관광지,제라진 제주오프로드 사파리,제주특별자치도 제주시 조천읍 선흘리 624-4,제주특별자치도 제주시 조천읍 선교로 33,33.4777041,126.7135515,14898
음식점,카페동백,제주특별자치도 제주시 조천읍 선흘리 922,제주특별자치도 제주시 조천읍 동백로 68,33.4777041,126.7135515,14878
관광지,윈드1947 카트 테마파크,제주특별자치도 서귀포시 토평동 1799,제주특별자치도 서귀포시 토평공단로 78-27,33.289717,126.5888625,14875
관광지,캔디원,제주특별자치도 제주시 조천읍 선흘리 1776,제주특별자치도 제주시 조천읍 선교로 384,33.4708686,126.7078957,14821
관광지,벨리타,제주특별자치도 제주시 조천읍 중산간동로 1194,제주특별자치도 제주시 조천읍 중산간동로 1194,33.507736,126.69782,14774
관광지,라온승마클럽,제주특별자치도 제주시 한림읍 월림7길 155,제주특별자치도 제주시 한림읍 월림7길 155,33.355453,126.2419,14757
관광지,제주올레 12코스,제주특별자치도 서귀포시 대정읍 신도리 2883-2,제주특별자치도 서귀포시 대정읍 신도리 2883-2,33.286324,126.171646,14720
음식점,살롱드라방 SALON de LAVANT,제주특별자치도 제주시 애월읍 하가리 1415,제주특별자치도 제주시 애월읍 하가로 146-9,33.499622,126.53119,14714
관광지,수월봉 전기자전거,제주특별자치도 제주시 한경면 고산리 3674-9,제주특별자치도 제주시 한경면 고산리 3674-9,33.2988231,126.1681169,14697
관광지,제주향교,제주특별자치도 제주시 용담일동 298-8,제주특별자치도 제주시 서문로 43,33.511157,126.5160507,14691
관광지,성읍목장,제주특별자치도 서귀포시 표선면 성읍리 1734,제주특별자치도 서귀포시 표선면 성읍리 1734,33.404278,126.791985,14679
관광지,제주교육박물관,제주특별자치도 제주시 오복 4길 25,제주특별자치도 제주시 오복 4길 25,33.49451,126.53802,14646
관광지,제주해양레저,제주특별자치도 서귀포시 중문동 2785-2,제주특별자치도 서귀포시 중문관광로 192,33.243168,126.41885,14632
음식점,새빌,제주특별자치도 제주시 애월읍 봉성리 4554,제주특별자치도 제주시 애월읍 평화로 1529,33.36437553,126.3630633,14630
음식점,퍼시픽 리솜 엘마리노 뷔페,제주특별자치도 서귀포시 색달동 2950-5,제주특별자치도 서귀포시 중문관광로 154-17,33.2437366,126.4156983,14392
관광지,제주올레 9코스,제주특별자치도 서귀포시 안덕면 감산리 982-2,제주특별자치도 서귀포시 안덕면 감산리 982-2,33.2371,126.36139,14374
관광지,위미항,제주특별자치도 서귀포시 남원읍 위미리 1757-12,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-13,33.2707092,126.6636358,14340
관광지,쇠와꽃 승마장,제주특별자치도 서귀포시 성산읍 고성리 354-1,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 88-17,33.44715,126.920296,14302
음식점,산방산에 옛촌,제주특별자치도 서귀포시 안덕면 사계로 189,제주특별자치도 서귀포시 안덕면 사계로 189,33.24694,126.30275,14219
관광지,고흐의 정원,제주특별자치도 서귀포시 성산읍 삼달리 1185-2,제주특별자치도 서귀포시 성산읍 삼달신풍로 126-5,33.3726076,126.855539,14124
관광지,우도올레보트,제주특별자치도 제주시 우도면 연평리 2562-1,제주특별자치도 제주시 우도면 연평리 2562-1,33.501495,126.94424,14119
음식점,미영이네식당,제주특별자치도 서귀포시 대정읍 하모리 770-29,제주 서귀포시 대정읍 하모항구로 42,33.21765,126.2499,14111
관광지,원당봉,제주특별자치도 제주시 삼양일동 산 1-2,제주특별자치도 제주시 원당로16길 16-30,33.5262509,126.5983848,14108
음식점,스시호시카이,제주특별자치도 제주시 오라2동 959-1,제주특별자치도 제주시 오남로 90,33.487827,126.51764,14100
관광지,신천리 벽화마을,제주특별자치도 서귀포시 성산읍 신천리,제주특별자치도 서귀포시 성산읍 신천리,33.3465229,126.8524043,14092
음식점,서광춘희,제주특별자치도 서귀포시 안덕면 서광리 141-10,제주특별자치도 서귀포시 안덕면 화순서동로 367,33.2833393,126.3316897,14058
음식점,뽈살집,제주특별자치도 서귀포시 서귀동 278-5,제주특별자치도 서귀포시 중정로91번길 37,33.250668,126.5632,14036
관광지,마라도등대,제주특별자치도 서귀포시 대정읍 가파리 642,제주특별자치도 서귀포시 대정읍 가파리 642,33.11671544,126.2695117,14032
관광지,제주플래티늄카라반,제주시 애월읍 하귀미수포길 5-8,제주시 애월읍 하귀미수포길 5-8,33.48435,126.40223,14021
음식점,피제리아3657,제주특별자치도 서귀포시 안덕면 창천리 912,제주특별자치도 서귀포시 안덕면 난드르로 56,33.23645,126.36306,14002
음식점,산도롱맨도롱,제주특별자치도 제주시 구좌읍 종달리 484-1,제주특별자치도 제주시 구좌읍 해맞이해안로 2284,33.4921891,126.9097197,13983
음식점,삼무국수,제주특별자치도 제주시 연동 271-10,제주특별자치도 제주시 삼무로3길 46-1,33.490567,126.491045,13982
관광지,설쿰바당,제주특별자치도 서귀포시 안덕면 사계리,제주특별자치도 서귀포시 안덕면 사계리,33.2356687,126.3125597,13937
관광지,해피맘하우스,제주특별자치도 제주시 애월읍 고내리 448-2,제주특별자치도 제주시 애월읍 애월해안로 306-3,33.4488627,126.3042586,13911
관광지,종달리해변,제주특별자치도 제주시 구좌읍 종달리 565-72,제주특별자치도 제주시 구좌읍 종달리 565-72,33.51134649,126.8992494,13881
관광지,라이트 아트 페스타[리모델링중],제주특별자치도 제주시 조천읍 선흘리 600-6,제주특별자치도 제주시 조천읍 선교로 115-1,33.4868649,126.7061249,13842
음식점,제주뚝배기,제주특별자치도 서귀포시 성산읍 성산리 163-2,제주특별자치도 서귀포시 성산읍 일출로 255,33.4611374,126.9330294,13740
관광지,동산농원 딸기체험장,제주특별자치도 제주시 한경면 저지리 1448-2,제주특별자치도 제주시 한경면 저지리 1448-2,33.333553,126.24605,13734
음식점,우도 풍원,제주특별자치도 제주시 우도면 연평리 2427-1,제주특별자치도 제주시 우도면 우도해안길 340,33.50834,126.94413,13730
관광지,아라리오뮤지엄동문모텔1,제주특별자치도 제주시 산지로 37-5,제주특별자치도 제주시 산지로 37-5,33.513565,126.52853,13624
음식점,국수마당 본점,제주특별자치도 제주시 일도이동 1034-19,제주특별자치도 제주시 삼성로 65,33.5080638,126.5322532,13597
관광지,곽지해수욕장야영장,제주특별자치도 제주시 애월읍 곽지리 1565,제주특별자치도 제주시 애월읍 곽지리 1565,33.450752,126.30563,13574
음식점,헤이브라더,제주특별자치도 서귀포시 안덕면 사계리 2294-21,제주특별자치도 서귀포시 안덕면 형제해안로 72,33.2255616,126.2996722,13557
관광지,냇길이소,제주특별자치도 서귀포시 강정동 5647-0,제주특별자치도 서귀포시 강정동 5647-0,33.261562,126.49447,13547
관광지,삼매봉,제주특별자치도 서귀포시 서홍동 819,제주특별자치도 서귀포시 남성로115번길 83,33.2639577,126.5507293,13500
관광지,구좌 하도어촌계,제주특별자치도 제주시 구좌읍 하도리 22-10,제주특별자치도 제주시 구좌읍 해맞이해안로 1897-27,33.5200922,126.9041337,13494
관광지,프랑스샤르망,제주시 한림읍 명월리 384,제주시 한림읍 명상로 37,33.3746,126.28119,13494
관광지,대유ATV수렵사격랜드,제주특별자치도 서귀포시 상예동 144,제주특별자치도 서귀포시 상예로 381,33.2775412,126.3953648,13479
관광지,함덕야영장,제주특별자치도 제주시 조천읍 함덕리 1008,제주특별자치도 제주시 조천읍 함덕리 1008,33.544018,126.66839,13444
관광지,제주잠수함(리더스클럽),제주특별자치도 제주시 조천읍 신흥리 1-11,제주특별자치도 제주시 조천읍 신흥리 1-11,33.55131,126.65275,13441
음식점,전설의마녀,제주특별자치도 제주시 애월읍 구엄리 606,제주특별자치도 제주시 애월읍 애월해안로 715,33.4840886,126.3775352,13438
음식점,바다를본돼지(판포점),제주특별자치도 제주시 한경면 판포리 2881-4,제주특별자치도 제주시 한경면 판포1길 16,33.3656791,126.1979116,13428
음식점,제주그림카페,제주특별자치도 서귀포시 안덕면 서광리 산 39 ,제주특별자치도 서귀포시 안덕면 녹차분재로 218 4층,33.3029712,126.2990679,13422
